"word","pos","definition","example","tags"
"검사","noun","examination/inspection","어디가 아픈지 검사를 해 봅시다.","topik2"
"구매","noun","purchase","요즘은 충동적으로 구매를 하는 경우가 많다.","topik2"
"나타나다","verb","show/appear","그 기획안을 검토해 보니 문제가 많이 나타났다.","topik2"
"늘다","verb","increase","처음 동호회 활동을 시작했을 때 한 명이던 회원이 지금은 백 명으로 늘었다.","topik2"
"맡기다","verb","leave","나는 도서관에 신분증을 맡기고 책을 빌렸다.","topik2"
"싸다","verb","pack/wrap","남은 음식은 싸 드리겠습니다.","topik2"
"쏟다","verb","spill","물을 쏟아서 바닥이 미끄럽다.","topik2"
"이용하다","verb","use","버스나 지하철 같은 대중교통을 이용하면 아주 편리하다.","topik2"
"젖다","verb","get wet","비가 와서 옷이 다 젖었다.","topik2"
"조사하다","verb","research/investigate","외국인을 대상으로 한국에서 가장 가고 싶은 곳을 조사했다.","topik2"
"줄어들다","verb","decrease/shrink","농촌 인구가 계속 줄어들고 있다.","topik2"
"켜지다","verb","(light or power) turn on","밤이 되자 가게에 하나둘 불이 켜졌다.","topik2"
"뒤를 잇다","","follow/succeed","외국인이 가장 좋아하는 음식으로 비빔밥이 1위를 차지했고 불고기, 삼계탕이 그 뒤를 이었다.","topik2"
"고객","noun","client/customer","저희 식당은 고객님의 만족을 위해 언제나 노력하겠습니다.","topik2"
"보호","noun","protection","우리는 문화재 보호를 위해 노력해야 한다.","topik2"
"소음","noun","noise","이 지역은 소음으로 인한 문제가 너무 많다.","topik2"
"접수","noun","receipt/reception","회원 접수는 인터넷 홈페이지에서만 가능하다.","topik2"
"마음껏","adverb","as much as one wants","음식을 많이 준비했으니 마음껏 드세요.","topik2"
"직접","adverb","directly/in person","내가 직접 들은 이야기는 아니다.","topik2"
"망설이다","verb","hesitate","잠시 무엇을 사야 할지 망설였다.","topik2"
"방문하다","verb","visit","이번 전시회를 방문한 사람이 만 명이 넘었다.","topik2"
"알리다","verb","notify/inform","도착하면 저에게 알려 주십시오.","topik2"
"알아보다","verb","find","요즘 옮길 직장을 알아보고 있어요.","topik2"
"이사하다","verb","move","내년 6월에 부모님 집으로 이사할 겁니다.","topik2"
"준비하다","verb","prepare","학교 행사를 준비하느라 모두 바쁘게 움직이고 있다.","topik2"
"아쉽다","adjective","sorry/regretful","자주 가던 도서관이 없어져서 아쉽다.","topik2"
"목적지","noun","destination","손님을 목적지까지 안전하게 모셔다 드리겠습니다.","topik2"
"실수","noun","mistake","실수로 어머니께서 아끼시는 그릇을 깨뜨렸다.","topik2"
"반드시","adverb","surely","지금은 헤어지지만 언젠가는 반드시 만나게 될 것이다.","topik2"
"아무리","adverb","however/no matter how","아무리 바빠도 부모님께 가끔 안부는 전해야 한다.","topik2"
"잘못","adverb","wrong/by mistake","버스를 잘못 타는 바람에 학교에 늦게 도착했다.","topik2"
"견디다","verb","endure","힘들어도 참고 견디면 좋은 날이 올 거야.","topik2"
"도착하다","verb","arrive","조금 전에 출발했으니까 곧 도착할 거예요.","topik2"
"서두르다","verb","hurry/rush","이 시간에는 길이 막힐 테니까 서둘러야 해요.","topik2"
"연락하다","verb","contact/call","급할 때에 연락할 수 있는 전화번호를 써 주세요.","topik2"
"참다","verb","bear/persevere","병원에 다 왔으니 조금만 참으세요.","topik2"
"사용","noun","usage","이곳은 전자제품 사용을 제한하고 있습니다.","topik2"
"이상","noun","abnormality/disorder","제품에 이상이 생기면 언제든지 교환해 드립니다.","topik2"
"지식","noun","knowledge","학교에서는 지식 이외에도 많은 것을 배울 수 있다.","topik2"
"간직하다","verb","keep","나는 너와의 추억을 소중하게 간직하고 있다.","topik2"
"놓치다","verb","miss/lose","집으로 가는 막차를 놓쳐서 택시를 탔다.","topik2"
"늘리다","verb","increase/expand","학교는 학생을 위해 체육 시설을 늘렸다.","topik2"
"보관하다","verb","keep/store","귀중한 물건은 개인이 따로 보관해 주십시오.","topik2"
"복용하다","verb","take","약품을 복용할 때에는 의사나 약사와 상의하십시오.","topik2"
"상의하다","verb","discuss/consult","나는 앞으로의 계획에 대해서 부모님과 상의하였다.","topik2"
"썩다","verb","rot/decompose","음식이 썩지 않도록 냉장고에 보관해 주십시오.","topik2"
"책임지다","verb","take responsibility for","그 일은 제가 책임지고 하겠습니다.","topik2"
